ProductName,price,vendor
"Harmonix OFFICIAL Rock Band 1 Wired Fender Stratocaster Guitar Controller for Xbox 360, Black",,Harmonix
Xbox Wireless Controller - Gears of War 4 Crimson Omen Limited Edition,99,Microsoft
"PDP Xbox One MARS Starter Pack - Big Buck Hunter: Arcade, 048-134-NA",99.99,PDP
"PDP Nintendo Switch Pull-N-Go Case, Elite Edition, 500-141 - Nintendo Switch",,PDP
"PDP Sony Licensed Afterglow AG 9+ Wireless Headset for PlayStation 4, Black, 051-044-NA-LIC - PlayStation 4",,PDP
Xbox 360 Wireless Controller - White,,Microsoft
ASTRO Gaming MixAmp Pro TR for PS4 - Black - PlayStation 4,78.74,ASTRO Gaming
Nintendo Wii WHITE Video Game Console System Bundle Online RVL-001 GameCube Port,98.99,Nintendo
Xbox 360 Rock Band 2 Standalone Guitar,,MTV Games
Glossy Transparent Green Playstation 4 PS4 Dual Shock 4 Wireless Custom Controller,,Piranha Performance
Turtle Beach - Ear Force XO One Amplified Gaming Headset and Headset Audio Controller- Xbox One,,Turtle Beach
Sony DualShock 4 Wireless Controller for PlayStation 4 - Magma Red Two Tone (CUH-ZCT2U),,Sony
Sony Dualshock 4 Wireless Controller for PlayStation 4 -  Red CRYSTAL - PlayStation 4,39.99,Playstation
DualShock 4 Wireless Controller for PlayStation 4 - Copper [Discontinued],59.99,Playstation
Nintendo 2DS Handheld System with Mario Kart 7 - Electric Blue,181.95,Nintendo
Nintendo New 3DS Xl - Red [Discontinued],149.97,Nintendo
Xbox One Wireless Controller and Play & Charge Kit (Without 3.5 millimeter headset jack),95,Microsoft
Nintendo 3DS XL - Red/Black,,Nintendo
PlayStation 3 Dualshock 3 Wireless Controller (Blue),80.98,Playstation
Universal Rock Band Replacement Kick Pedal,139.66,PDP
Nintendo 3DS - Limited Edition with The Legend of Zelda Ocarina of Time 3D,135.00,Nintendo
Xbox One Special Edition Armed Forces Stereo Headset,79.99,Microsoft
PlayStation Silver Wired Stereo Headset,,Sony
